id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S2212,Auto France. техцентр,Независимый,Все марки,Химки,Молодёжная. 9а,37.41582538,55.88218049,(495) 509-53-03,mirkpp.ru,10:00-21:00,выходной,Наличный расчет. Оплата через банк. через банк
S2213,Autobrateevo. СТО,Независимый,Все марки,Москва,Борисовские Пруды. 31,37.7342683,55.63575043,(495) 517-87-53,,,,Наличный расчет
S2214,AutoCardis. автосервис,Независимый,Все марки,Москва,Веерная. вл1д,37.48632302,55.7069826,(495) 649-59-32. 8-925-777-00-68,autocardis.ru,,,Наличный расчет
S2215,AutoCityMotors. техцентр,Независимый,Все марки,Москва,Докукина. 8 ст11,37.65655318,55.83792415,(495) 500-75-73. (495) 500-83-08,autocitymotors.ru,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S2216,Autodock. автотехцентр,Независимый,Все марки,Москва,Остаповский проезд. 9 - 1 этаж,37.71218211,55.72019094,(495) 724-69-24,,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S2217,Autodrug 24 часа. автомастерская,Независимый,Все марки,Москва,Волгоградский проспект. вл38Б,37.708259,55.71534752,8-916-024-10-05,www.avtotexuslugi.ru,,,Наличный расчет
S2218,Autoguart. автосервис. ИП Санкин А.В.,Независимый,Все марки,Химки,Куркинское шоссе. ст4,37.43220417,55.88271918,(495) 226-53-50. 8-903-777-93-11,auto-guard.pro,,,Наличный расчет
S2219,AUTOHIMKI. ООО. автосервис,Независимый,Все марки,Химки,Пожарского. ст26,37.48408098,55.89253415,8-905-735-77-99. 8-968-517-55-99,,,,Наличный расчет
S2220,Autoimperial. автосервис,Независимый,Все марки,Москва,Чермянская. 12 - 1 этаж,37.62527264,55.88554542,8-925-464-07-08,,,,Наличный расчет
S2221,AutoKaif. автосервис,Независимый,Все марки,Москва,Востряковский проезд. вл8,37.65203995,55.57373861,8-985-765-98-20,www.autokaif.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S2222,Automarvel. автосервис,Независимый,Все марки,Москва,Академика Опарина. 5,37.5079171,55.64780649,8-925-001-26-72,,,,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S2223,Automotogroup. автотехцентр,Независимый,Все марки,Москва,Добролюбова. 1 - 1 этаж,37.59457791,55.80910289,(495) 585-49-48. (495) 639-61-24,,,,Наличный расчет. Оплата через банк. через банк
S2224,Autoplus-MSK. автосервис,Независимый,Все марки,Москва,Даниловская Набережная. 8 ст23,37.63653825,55.7101182,(495) 968-32-29. 8-967-181-07-18,www.autoplus-msk.ru,10:00-20-:00,10:00-20-:00,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S2225,AutoProfi2000. автосервис,Независимый,Все марки,Москва,Большая Академическая. 81,37.55882724,55.84451512,(495) 720-39-84,www.autoprofi2000.ru,10:00-20-:00,10:00-20-:00,Наличный расчет. Оплата через банк. 
S2226,Autopsa. автосервис,Независимый,Peugeot .Citroen,Москва,Нагорный проезд. 2,37.61828401,55.68902229,(495) 220-44-32. 8-915-496-55-55,autopsa.ru,9:00-22:00,9:00-22:00,Наличный расчет. Visa. MasterCard
S2227,Autoshikk. сервисный центр,Независимый,Все марки,Москва,Панфиловский проспект (Зеленоград). 8 ст10,37.20116671,56.01560485,(499) 734-96-20. 8-968-790-91-91,www.autogroupcomplex.ru,,,Наличный расчет. Оплата через банк. через банк
S2228,AutoZona. автотехцентр,Независимый,Все марки,Москва,Южнопортовая. 15 к4,37.69982164,55.7078676,(495) 772-27-38. (495) 508-13-98,www.auto-zona.com,10:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. Union Card. 
S2229,Auto504. автосервис,Независимый,Все марки,Москва,Нагатинский 2-й проезд. 2 - 1 этаж,37.6425115,55.67728781,(495) 517-40-31. 8-926-907-47-07,auto504.ru,9:30- 18:30,выходной,Наличный расчет
S2230,Auto-Care. техцентр,Независимый,Все марки,Москва,Вавилова. 4,37.59009322,55.70891053,(495) 772-79-38. (495) 958-49-80,www.autocare.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard.
S2231,Avalon. автотехцентр,Независимый,Все марки,государственного племенного завода Константиново (Домодедово городской округ),Объездной проезд. 1 вл2,37.70771679,55.43210925,(499) 963-30-43,www.avalon-motors.ru,,,Наличный расчет
S2232,AVavto. автосервис,Независимый,Все марки,Москва,Славянский бульвар. 7 к2,37.46989502,55.72594196,(499) 445-06-76. (499) 445-12-90. (499) 445-08-35,,,,Наличный расчет. Оплата через банк. через банк
S2233,Aviator. автосервис,Независимый,Все марки,Подольск,Авиаторов проезд. 12 к13 - 1 этаж,37.55056312,55.46300764,8-915-001-75-23,,,,Наличный расчет. Оплата через банк. через банк
S2234,AVK-Service. автотехцентр,Независимый,Все марки,Москва,Варшавское шоссе. 39в,37.62854551,55.68469647,8-985-970-71-27,,,,Наличный расчет
S2235,AVS-Сервис. техцентр,Независимый,Все марки,Москва,Люблинская. 82,37.73953831,55.66553299,(495) 972-35-13. (495) 972-35-19,,,,Наличный расчет. Оплата через банк. через банк
S2236,AvtoColorDelux. автотехцентр,Независимый,Все марки,Москва,Даниловская Набережная. 8 - 1 этаж,37.63576749,55.70959499,(495) 979-46-56. 8-925-088-47-57. 8-915-155-00-51,www.aclux.ru,10:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. через банк
S2237,Avtodrom. автосервис,Независимый,Все марки,Москва,Производственная. 6 ст17,37.38658065,55.64636708,8-903-198-19-96,avtodrom.ucoz.com,,,Наличный расчет. Оплата через банк. через банк
S2238,Avtoreut. автосервис,Независимый,Все марки,Реутов,Железнодорожная. 9,37.86813187,55.7552062,8-903-721-59-42,avtoreut.ru,10:00-20-:00,10:00-20-:00,Наличный расчет. Оплата через банк. через банк
S2239,Avtorex. технический центр,Независимый,Все марки,Реутов,Кирова. 4,37.85242697,55.75845158,(495) 791-62-42. (495) 791-62-43,vw-reutov.ru,9:00-21:00,9:00-21:00,Наличный расчет
S2240,AVTOSTILIST. автоцентр,Независимый,Все марки,Москва,Самокатная. 2а,37.67712047,55.75864465,(495) 765-05-77. 8-925-005-03-23,avtostilist.ru,9:00-22:00,9:00-22:00,Наличный расчет. Visa. MasterCard. Diners Club. Золотая Корона. American Express. Maestro Card. Union Card
S2241,Avto-J. автотехцентр,Независимый,Infiniti,Москва,Ильменский проезд. 15,37.54322708,55.86026408,(495) 789-10-00. 8-909-923-33-33,www.avto-j.ru,,,Наличный расчет. Visa. MasterCard. Maestro Card
S2242,Avto-Vaal. автосервис,Независимый,Все марки,Москва,Луговой проезд. 6,37.751402,55.64951679,8-925-664-48-49 (единая справочная - пн-пт 9:00-19:00),,,,Наличный расчет
